Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody",Medical Seeds Co,Spain
100-Og,hybrid,4,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus",,
13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit",Canadian LP Delta 9 BioTech,Canada
24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange",,Los Angeles
3-Bears-Og,indica,0,None,None,Mephisto Genetics ,
3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent",,
303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy",,Colorado
3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery",3D CBD,
3Rd-Coast-Panama-Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel",Bedford Grow,
3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet",,
501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk",Rare Dankness Seeds,Colorado
5Th-Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine",Elemental Seeds,California
707-Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent",,California
8-Ball-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine",Barney's Farm,"Amsterdam, Westmont, Illinois"
818-Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery",,"San Fernando Valley, Los Angeles"
831-Og,indica,5,None,None,831 Organiks,
9-Pound-Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry",,
91-Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry",DNA Genetics,"Amsterdam,Canada, California"
98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet",,
A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy",,
A-Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus",,
Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical",Canadian LP Aphria Genetics,Canada
Abusive-Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel",,California
Acapulco-Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent",,"Acapulco, Mexico"
Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody",,
Ace-Killer-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal",,
Ace-Of-Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody",TGA Subcool Genetics,"Seattle, Washington"
Aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon",,Aceh region of Indonesia
Acid,hybrid,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted","Lemon,Diesel,Earthy",,
Acid-Dough,sativa,5,"Talkative,Giggly,Happy,Hungry,Relaxed",None,Ripper Seeds,
Afcrack,hybrid,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted","Sweet,Flowery,Earthy",,Afghanistan
Afgahni-Bullrider,indica,4.4,"Focused,Uplifted,Happy,Creative,Relaxed","Lemon,Citrus,Sweet",,
Afghan-Big-Bud,indica,4,"Euphoric,Happy,Relaxed,Sleepy,Talkative","Pungent,Lemon,Peach",,
Afghan-Cow,sativa,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative","Sweet,Vanilla",Dr. Krippling Seeds ,
Afghan-Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Diesel,Chemical",,
Afghan-Hawaiian,indica,4.1,"Tingly,Sleepy,Relaxed,Energetic,Aroused","Nutty,Earthy,Chestnut","Canadian LP OrganiGram, Inc",
Afghan-Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Earthy,Flowery,Tea","Nevil Schoenmaker and Shantibaba of Mr Nice Seeds, ",Afghanistan
Afghan-Kush,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Flowery,Woody",White Label Seed Company,Netherlands
Afghan-Skunk,indica,4.3,"Sleepy,Relaxed,Happy,Hungry,Giggly","Skunk,Woody,Sweet",,
Afghan-Sour-Kush,indica,4.5,"Hungry,Relaxed,Aroused,Sleepy,Euphoric","Earthy,Diesel,Pungent",MTG Seeds,
Afghan-Widow,hybrid,4.5,"Creative,Energetic,Euphoric,Focused,Uplifted","Flowery,Diesel,Sweet",,
Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Pine",,Afghanistan
Afghani-Cbd,indica,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative","Flowery,Chemical,Spicy/Herbal","Canadian LP Tweed, Inc",Canada
Afghanica,hybrid,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Sweet,Flowery,Skunk",Flying Dutchman,"Castle Rock, Washington"
Afghanimal,indica,5,"Hungry,Relaxed,Aroused,Sleepy,Focused","Citrus,Skunk",In House Genetics,
Afghooey,indica,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative","Earthy,Sweet,Woody",,
Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody",,
Afgooey,indica,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted","Woody,Pine,Pungent",,
Afkansastan,indica,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Tobacco,Earthy",,
Afpak,hybrid,4.2,"Relaxed,Creative,Focused,Sleepy,Happy","Pine,Spicy/Herbal,Earthy",,
African,sativa,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative","Spicy/Herbal,Pungent,Pepper",Unknown,Africa
Afrikaner,sativa,0,None,None,Cannabaal and Waldo Botha,South African
Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical",Colorado Seed Inc.,"Boulder, Colorado"
Afwreck,hybrid,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Earthy,Pine,Pungent",,
Agent-Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy",,
Agent-Tangie,hybrid,4.5,"Uplifted,Happy,Creative,Euphoric,Focused","Skunk,Citrus,Orange",,
Air-Jordan-Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel,Pine,Spicy/Herbal",Good as Gold in California,
Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody",Serious Seed,Africa
Ak-48,hybrid,4,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus",,
Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Earthy,Woody,Pine",Tikum Olam,Alaska
Alaska-Thunder-Grape,hybrid,5,"Tingly,Uplifted,Creative,Euphoric,Focused","Pepper,Strawberry,Grape",,Sonoma County
Alaskan-Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet,Earthy,Spicy/Herbal",Green House Seeds,"Amsterdam, Netherlands"
Alaskan-Thunder-Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Earthy,Woody,Pine",,"Matanuska Valley, Alaska"
Albert-Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Mango,Blueberry",,Pacific Northwest
Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese,Sweet,Spicy/Herbal",TGA Genetics,"Seattle, Washington"
Alf,hybrid,5,"Relaxed,Creative,Euphoric,Giggly,Happy","Diesel,Tropical,Pungent",The Captain's Connection,
Alice-In-Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Mint,Sweet",Unknown,
Alien-Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Earthy,Nutty,Sweet",Ocean grown Genetics,California
Alien-Apparition,hybrid,4,"Hungry,Energetic,Euphoric,Aroused,Tingly","Sweet,Pungent,Skunk",Franchise Genetics,
Alien-Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy",Shy High Gardens,Washington
Alien-Bubba,indica,5,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Woody,Sweet",,
Alien-Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Woody",Norther California and Afghanitan Genetics,
Alien-Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Sweet,Berry,Blueberry",Cresco Labs,"Chicago, Illinois"
Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Sweet,Earthy,Diesel",Alien Genetics,"Humboldt, California"
Alien-Inferno,hybrid,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic","Pine,Diesel,Earthy",,
Alien-Kush,indica,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Earthy,Woody,Flowery",,California
Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Lemon,Citrus",,California
Alien-Reunion,hybrid,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative","Pungent,Skunk,Cheese",Cannobi Genetics,
Alien-Rift,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Grape,Earthy,Chemical",Ocean Grown Seeds,
Alien-Rock-Candy,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Sweet,Citrus,Earthy",Alien Genetics,"Humboldt, California"
Alien-Sour-Apple,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy","Sweet,Lemon,Apple",Franchise Genetics,
Alien-Stardawg,sativa,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly","Diesel,Spicy/Herbal,Sage",Green Beanz Seeds,
Alien-Technology,indica,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy,Spicy/Herbal,Woody",OBSoul33t,
Aliens-On-Moonshine,indica,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly","Citrus,Sage,Grapefruit",SinCity Seeds ,"Las Vegas, Nevada"
Allen-Iverson-Og,indica,5,"Uplifted,Euphoric,Happy,Relaxed",None,California's Good as Gold,
Allen-Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Citrus,Earthy,Pungent",,
Allkush,indica,5,"Relaxed,Sleepy,Uplifted,Happy","Spicy/Herbal,Honey,Earthy",Paradise Seeds,"Amsterdam, Netherlands"
Aloha,sativa,4.2,"Energetic,Uplifted,Happy,Creative,Focused","Tropical,Sweet,Citrus",,Hawaaii
Aloha-Grape-Stomper,hybrid,5,"Tingly,Uplifted,Euphoric,Giggly,Happy","Blueberry,Grape,Tropical",,Hawaaii
Aloha-Limone,hybrid,4.8,"Euphoric,Creative,Energetic,Talkative,Uplifted","Sweet,Citrus,Earthy",Kush Genetics,Hawaaii
Alohaberry,hybrid,4.2,"Energetic,Uplifted,Aroused,Tingly,Relaxed","Berry,Apple,Chestnut",,Hawaaii
Alpha-Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Earthy,Blueberry,Sweet",Unknown,
Alpha-Cow,sativa,5,None,None,,
Alpha-Express,sativa,4.7,"Energetic,Focused,Talkative,Happy,Relaxed","Diesel,Earthy,Spicy/Herbal",,
Alpha-Og,hybrid,4.6,"Relaxed,Focused,Happy,Euphoric,Sleepy","Spicy/Herbal,Sweet,Berry",Alpha Medic,
Alpine-Blue,hybrid,5,"Uplifted,Creative,Energetic,Aroused,Euphoric","Berry,Blueberry,Pine",,
Alpine-Star,indica,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Pine,Citrus,Earthy",,
Als-Dream,hybrid,3,"Talkative,Energetic",None,,Colorado
Ambrosia,hybrid,4.4,"Uplifted,Euphoric,Relaxed,Creative,Focused","Flowery,Lavender,Earthy",Jordan of the Islands,Canada
American-Dream,hybrid,4.7,"Focused,Euphoric,Tingly,Energetic,Relaxed","Earthy,Sweet,Pungent",Sensi Seeds,"Amsterdam, Netherlands"
American-Kush,indica,4.8,"Relaxed,Tingly,Sleepy,Uplifted,Happy","Sweet,Lemon,Lime",AlphaKronic Genes,
Americano,indica,4.6,"Relaxed,Creative,Focused,Euphoric,Aroused","Earthy,Spicy/Herbal,Tobacco",Enterprise Seeds,Canada
Amethyst,hybrid,3.9,"Energetic,Creative,Giggly,Hungry,Happy",,Zion Botanicals,"Portland, Oregon"
Amethyst-Bud,hybrid,4.2,"Uplifted,Happy,Relaxed,Focused,Energetic","Berry,Lavender,Sweet",Soma Sacred Seeds,"Amsterdam, Netherlands"
Amnesia,sativa,4.3,"Happy,Euphoric,Energetic,Creative,Uplifted","Earthy,Sweet,Skunk",,
Amnesia-Ganja-Haze,sativa,5,None,None,Sumo Seeds,
Amnesia-Haze,sativa,4.3,"Happy,Euphoric,Uplifted,Energetic,Creative","Earthy,Citrus,Lemon",,
Ancient-Kush,indica,4.6,"Sleepy,Relaxed,Aroused,Creative,Energetic","Skunk,Cheese,Mint",,Afghanistan
Ancient-Og,indica,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Flowery,Nutty",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Anesthesia,indica,4.1,"Hungry,Sleepy,Relaxed,Happy,Euphoric","Earthy,Pungent,Sweet",Whazzup,
Angel-Og,indica,5,"Happy,Relaxed,Uplifted,Sleepy,Euphoric","Pungent,Earthy,Berry",,
Animal-Cookies,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Sweet,Pungent",,
Anonymous-Og,indica,5,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Flowery,Coffee",3C Farms,
Anubis,indica,5,"Relaxed,Sleepy,Creative,Focused,Aroused","Grape,Lime,Earthy",Pyramid Seeds,
Ape-Shit,hybrid,5,"Happy,Relaxed,Uplifted,Giggly,Talkative","Sweet,Grape,Lavender",,
Apollo-11,hybrid,4.4,"Uplifted,Happy,Euphoric,Relaxed,Creative","Pungent,Citrus,Lemon",Brothers Grimm Seeds,
Apollo-13,hybrid,4.4,"Happy,Euphoric,Energetic,Uplifted,Creative","Earthy,Spicy/Herbal,Sweet",Brothers Grimm Seeds,
Appalachia,hybrid,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly","Pungent,Skunk,Earthy",High & Lonesome Seeds,
Appalachian-Power,sativa,4.3,"Euphoric,Creative,Focused,Talkative,Uplifted","Tropical,Grape,Sweet",Soulshine Cannabis,
Apple-Jack,hybrid,3.6,"Happy,Relaxed,Focused,Energetic,Tingly","Apple,Sweet,Earthy",,
Apple-Kush,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Apple,Diesel,Pungent",,Oregon
Appleberry,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Euphoric","Berry,Apple,Sweet",Sumo Seeds,
Arabian-Gold,sativa,4.1,"Euphoric,Tingly,Giggly,Sleepy,Creative",,,
Arctic-Sun,hybrid,4.3,"Creative,Relaxed,Energetic,Euphoric,Focused","Ammonia,Skunk",Flying Dutchman,"Castle Rock, Washington"
Arcticblue,hybrid,4.8,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Blueberry,Sweet,Earthy",ArticBlue Farms,
Area-51,hybrid,4.4,"Happy,Uplifted,Relaxed,Euphoric,Creative","Earthy,Citrus,Sweet",,
Argyle,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Focused","Spicy/Herbal,Pungent,Earthy","Canadian LP Tweed, Inc",Canada
Arjans-Strawberry-Haze,sativa,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Strawberry,Sweet,Berry",Arjan,
Arjans-Ultra-Haze-1,sativa,4.8,"Euphoric,Focused,Energetic,Relaxed,Creative","Minty,Earthy,Mint",Green House Seeds,"Amsterdam, Netherlands"
Armageddon,hybrid,4,"Uplifted,Giggly,Happy,Relaxed,Talkative","Diesel,Woody,Tropical",,
Armagnac,hybrid,4.2,"Relaxed,Sleepy,Talkative,Giggly,Happy","Spicy/Herbal,Sweet,Flowery",New House Seeds,
Ash,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Pungent,Skunk,Spicy/Herbal",Mr Nice Seeds ,
Asian-Fantasy,sativa,4.4,"Euphoric,Hungry,Happy,Relaxed,Talkative","Earthy,Skunk,Woody",,
Aspen-Og,hybrid,4.1,"Focused,Happy,Energetic,Relaxed,Talkative","Blueberry,Spicy/Herbal,Earthy",,
Astroboy,sativa,4.5,"Relaxed,Energetic,Happy,Creative,Focused","Sweet,Citrus,Grapefruit",TGA Subcool Genetics,"Seattle, Washington"
Athabasca,indica,4.6,"Talkative,Uplifted,Happy,Relaxed,Giggly","Earthy,Ammonia,Diesel",Canadian LP Aphria Genetics,Canada
Atmosphere,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Tingly","Flowery,Sweet,Citrus",,
Atomic,hybrid,4.5,"Happy,Relaxed,Talkative,Creative,Euphoric",Earthy,,
Atomic-Goat,hybrid,4.8,"Relaxed,Uplifted,Giggly,Tingly,Happy","Spicy/Herbal,Nutty,Sage",,"Seattle, Washington"
Atomic-Northern-Lights,hybrid,4.2,"Talkative,Uplifted,Hungry,Tingly,Focused","Earthy,Pungent,Flowery",,
Atomical-Haze,sativa,4.4,"Happy,Relaxed,Energetic,Uplifted,Creative","Pungent,Minty,Citrus",Paradise Seeds,"Amsterdam, Netherlands"
Aurora-Borealis,indica,4.2,"Happy,Euphoric,Relaxed,Sleepy,Hungry","Earthy,Woody,Sweet",,
Aurora-Indica,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Spicy/Herbal,Tropical",Nirvana Seeds,"Amsterdam, Netherlands"
Avalon,hybrid,3.6,"Aroused,Tingly,Hungry,Uplifted,Giggly","Sweet,Earthy,Nutty",,
Avi,hybrid,3,"Relaxed,Focused,Uplifted,Creative,Happy","Earthy,Pungent","Canadian LP Peace Naturals Project, Inc",
Avi-Dekel,hybrid,4.5,"Relaxed,Uplifted,Happy,Focused,Energetic","Earthy,Flowery,Sweet",Tikum Olam,Alaska
Ayahuasca-Purple,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Spicy/Herbal,Pungent,Earthy",Barney's Farm,"Amsterdam, Westmont, Illinois"
Az-Super-Sour-Og,hybrid,4.9,"Uplifted,Happy,Giggly,Energetic,Relaxed","Pungent,Sage,Woody",Valley of the Sun,
Azure-Haze,hybrid,4.4,"Relaxed,Uplifted,Focused,Euphoric,Happy","Berry,Sweet,Blueberry",DJ Short,Oregon
B-52,indica,4.1,"Relaxed,Happy,Giggly,Focused,Uplifted","Sweet,Woody,Earthy",,
B-Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus",,
B-Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus",,
B4,hybrid,4.5,"Happy,Uplifted,Euphoric,Focused,Relaxed","Spicy/Herbal,Berry,Skunk",MTG Seeds,
Bad-Azz-Kush,hybrid,5,None,,,
Bakerstreet,indica,3.7,"Euphoric,Relaxed,Giggly,Happy,Sleepy","Earthy,Diesel,Sweet","Canadian LP Tweed, Inc",Canada
Balmoral,hybrid,4.2,"Relaxed,Happy,Uplifted,Focused,Talkative","Earthy,Cheese,Pine","Canadian LP Tweed, Inc",Canada
Banana-Candy,indica,4.2,"Relaxed,Euphoric,Uplifted,Creative,Happy","Tree,Fruit,Earthy,Sweet",,
Banana-Cream-Og,hybrid,4.8,"Relaxed,Creative,Tingly,Uplifted,Focused","Minty,Mint,Pine","Vagrant Hill Farms of Forest Grove, Oregon",
Banana-Diesel,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Diesel,Earthy,Skunk",,
Banana-Kush,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Tropical,Tree,Fruit",,
Banana-Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Tropical,Earthy,Sweet",,
Banana-Peel,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Sleepy","Spicy/Herbal,Tropical,Earthy",Illuminati Seeds ,
Bananas,hybrid,4.5,"Relaxed,Energetic,Happy,Uplifted,Focused","Tropical,Grape,Vanilla",Leaf by Snoop,
Bandana,hybrid,4.2,"Euphoric,Happy,Relaxed,Talkative,Creative","Earthy,Pungent,Woody",AlphaKronic Genes,
Bangi-Haze,sativa,0,"Aroused,Uplifted,Euphoric,Hungry","Berry,Tree,Fruit,Cheese",Ace Seeds,"Valencia, Spain"
Bango,hybrid,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused","Lime,Earthy,Pungent",,
Barbara-Bud,indica,3.6,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Citrus,Earthy,Mango",,
Batgirl,hybrid,5,"Euphoric,Relaxed",None,,
Batman-Og,indica,4.4,"Sleepy,Hungry,Happy,Relaxed,Giggly","Skunk,Pungent,Sweet",Unknown,
Bay-11,sativa,4.5,"Happy,Relaxed,Uplifted,Energetic,Creative","Sweet,Earthy,Citrus",Grand Daady Purp,
Bay-Dream,sativa,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Earthy,Sweet",Unknown,
Bb-King,indica,3.8,"Sleepy,Happy,Relaxed,Uplifted,Creative","Lemon,Earthy,Citrus",,
Bc-Big-Bud,hybrid,4.5,"Relaxed,Euphoric,Happy,Creative,Sleepy","Earthy,Pungent,Tropical",,British Columbia
Bc-Roadkill,hybrid,4.5,"Euphoric,Uplifted,Happy,Giggly,Relaxed","Skunk,Earthy,Woody",,
Bc-Sweet-Tooth,indica,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric","Sweet,Honey,Tree,Fruit",BC Bud Depot,British Columbia 
Bcn-Diesel,hybrid,5,"Sleepy,Focused,Happy,Hungry",None,,
Bear-Dance,hybrid,4.8,"Uplifted,Euphoric,Giggly,Happy,Energetic","Earthy,Minty,Sweet",303 Seeds,
Beast-Mode-20,indica,4.5,"Relaxed,Sleepy,Tingly,Happy,Euphoric","Earthy,Woody,Berry",,
Beast-Mode-Og,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Talkative,Happy","Pine,Apricot,Earthy",,
Bedford-Glue,hybrid,5,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Pepper,Pine,Sage",,
Bedica,indica,4.3,"Relaxed,Sleepy,Hungry,Focused,Euphoric","Pungent,Cheese,Woody",Canadian LP Bedrocan,
Bediol,sativa,4.7,"Relaxed,Talkative,Happy,Focused,Uplifted","Mango,Citrus,Lemon",Canadian LP Bedrocan,
Bell-Ringer,indica,5,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Citrus,Pungent",Khush Kush,
Belladonna,hybrid,4,"Happy,Sleepy,Giggly,Euphoric,Uplifted","Peach,Earthy,Butter",,
Berkeley,sativa,4.3,"Talkative,Happy,Uplifted,Energetic,Focused","Citrus,Sweet,Pungent",,
Bermuda-Sour,hybrid,0,None,None,,
Berry-Bomb,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Berry,Blueberry,Flowery",,
Berry-Larry,hybrid,4.8,"Relaxed,Uplifted,Creative,Euphoric,Talkative","Berry,Citrus,Orange",,
Berry-Noir,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Berry,Earthy,Sweet",,
Berry-Og,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Sleepy","Berry,Blueberry,Earthy",,
Berry-White,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Blueberry",,
Bertberry-Cheesecake,sativa,5,"Uplifted,Creative,Euphoric,Focused,Energetic","Cheese,Berry,Tree,Fruit",Bert Baccarat,
Berts-Cookie-Dough,hybrid,5,"Uplifted,Energetic,Happy,Hungry",None,,
Bettie-Page,hybrid,4.2,"Creative,Uplifted,Energetic,Euphoric,Relaxed","Earthy,Sweet,Blue,Cheese",Liberty Reach Farms,
Bianca,hybrid,4.2,"Relaxed,Sleepy,Euphoric,Focused,Creative","Earthy,Woody,Spicy/Herbal",,
Biddy-Early,hybrid,4.2,"Creative,Euphoric,Focused,Uplifted,Energetic","Sweet,Flowery,Diesel",Magus Genetics,
Big-Band,hybrid,4.6,"Relaxed,Happy,Euphoric,Hungry,Talkative","Sweet,Spicy/Herbal,Sage",,
Big-Bang,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Aroused","Sweet,Orange,Lemon",,
Big-Bud,indica,3.9,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Earthy,Skunk,Flowery",,
Big-Budda-Cheese,hybrid,4.2,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Cheese,Earthy,Flowery",Sensi Seeds,"Amsterdam, Netherlands"
Big-Holy-Nina,hybrid,4,"Talkative,Uplifted,Euphoric,Happy,Relaxed","Lime,Lemon,Earthy",Colorado Seed Inc.,"Boulder, Colorado"
Big-Kush,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Creative,Focused","Citrus,Lemon,Skunk",,
Big-Mac,indica,5,"Relaxed,Aroused,Sleepy,Talkative,Tingly","Sweet,Berry,Blueberry",Federation Seeds ,
Big-Skunk-Korean,hybrid,4,"Talkative,Uplifted,Creative,Energetic,Hungry","Flowery,Skunk",,
Big-Sky-Og,hybrid,4.7,"Relaxed,Tingly,Uplifted,Hungry,Sleepy","Pungent,Skunk,Diesel",Elemental Seeds,California
Big-Smooth,hybrid,5,"Happy,Relaxed,Giggly,Uplifted,Aroused","Blueberry,Spicy/Herbal,Nutty",,
Big-Sur-Holy-Bud,sativa,4,"Relaxed,Uplifted,Focused,Euphoric,Energetic","Earthy,Menthol,Pine",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Big-White,indica,4.2,"Relaxed,Uplifted,Happy,Sleepy,Euphoric","Flowery,Diesel,Sweet",,
Big-Wreck,indica,4.1,"Relaxed,Tingly,Euphoric,Happy,Uplifted","Earthy,Pungent,Nutty",,
Biker-Leblanc,hybrid,4.5,"Relaxed,Focused,Energetic,Euphoric,Aroused","Spicy/Herbal,Sage,Earthy",,
Bio-Diesel,hybrid,4.4,"Euphoric,Happy,Relaxed,Energetic,Uplifted","Diesel,Earthy,Pungent",,
Bio-Jesus,hybrid,4.6,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Chemical,Diesel",,
