Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Godzilla-Glue,hybrid,4.7,"Uplifted,Focused,Happy,Relaxed,Euphoric","Tropical,Spicy/Herbal,Sweet",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
Gog-Magog,indica,4.5,"Sleepy,Hungry,Uplifted,Euphoric,Happy","Earthy,Pungent,Spicy/Herbal",Tikum Olam,Alaska
Goji-Diesel,hybrid,4.8,"Euphoric,Focused,Uplifted,Creative,Happy",Diesel,,
Goji-Og,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Sweet,Berry,Citrus",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Gold-Kings-Thai,sativa,4.5,"Energetic,Happy,Aroused,Uplifted,Creative","Earthy,Citrus,Lime",Gold King,
Goldberry,indica,4.5,"Euphoric,Tingly,Creative,Happy,Focused","Mint,Earthy,Woody",,
Golden-Calyx,sativa,5,"Relaxed,Uplifted,Energetic,Happy,Aroused","Sweet,Citrus,Tropical",Calyx Garden,"Humboldt, California"
Golden-Gage,hybrid,4.4,"Happy,Energetic,Talkative,Giggly,Uplifted","Pepper,Spicy/Herbal,Citrus",,
Golden-Goat,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic","Sweet,Citrus,Tropical",,
Golden-Lemon,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Tingly,Happy","Lemon,Citrus,Sweet",DNA Genetics,"Amsterdam,Canada, California"
Golden-Nugget,hybrid,4.8,"Uplifted,Creative,Focused,Happy,Aroused","Sweet,Lime,Skunk",Greenpoint Seeds,
Golden-Panda,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Pungent,Sweet,Citrus",,
Golden-Pineapple,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative","Pineapple,Tropical,Citrus",,
Golden-Soda,hybrid,0,None,None,,
Golden-State-Banana,indica,4.8,"Euphoric,Relaxed,Sleepy,Creative,Happy","Citrus,Sweet,Tropical",,
Golden-Tangie,sativa,3.5,"Focused,Happy,Aroused,Energetic,Tingly","Citrus,Orange,Earthy",Calyx Garden,"Humboldt, California"
Golden-Ticket,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative","Citrus,Earthy,Lemon",Archive Seeds Bank,"Seattle, Washington"
